"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\asset\image\pdf\frame\mcqsystem.html", "HTML", 0, -44, 0, -9, -53
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\mcq.js", "JavaScript", 63, 0, -2, -9, 52
"Total", "-", 63, -44, -2, -18, -1
