"filename", "language", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\adminpanel.html", "HTML", 0, 7, 0, 0, -1, 6
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 89, 0, 15, 104
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\adminpanel.js", "JavaScript", 16, 0, 0, 0, 5, 21
"Total", "-", 16, 7, 89, 0, 19, 131
