"filename", "language", "HTML", "Markdown", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\README.md", "Markdown", 0, 1, 0, 0, 0, 1, 2
"c:\Users\vestb\Downloads\ProsjektHelseNorge\bmisite.html", "HTML", 62, 0, 0, 0, 0, 12, 74
"c:\Users\vestb\Downloads\ProsjektHelseNorge\calculator.html", "HTML", 32, 0, 0, 0, 0, 5, 37
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\bmi.css", "PostCSS", 0, 0, 105, 0, 0, 19, 124
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 920, 0, 22, 188, 1130
"c:\Users\vestb\Downloads\ProsjektHelseNorge\helsesøk.html", "HTML", 67, 0, 0, 0, 0, 10, 77
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 107, 0, 0, 0, 0, 11, 118
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\bmi.js", "JavaScript", 0, 0, 0, 46, 2, 12, 60
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\reaction.js", "JavaScript", 0, 0, 0, 76, 0, 17, 93
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\script.js", "JavaScript", 0, 0, 0, 53, 5, 13, 71
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\search.js", "JavaScript", 0, 0, 0, 87, 1, 18, 106
"c:\Users\vestb\Downloads\ProsjektHelseNorge\kcal.html", "HTML", 87, 0, 0, 0, 0, 26, 113
"c:\Users\vestb\Downloads\ProsjektHelseNorge\livogkost.html", "HTML", 110, 0, 0, 0, 0, 15, 125
"c:\Users\vestb\Downloads\ProsjektHelseNorge\mcqsystem.html", "HTML", 362, 0, 0, 0, 1, 39, 402
"c:\Users\vestb\Downloads\ProsjektHelseNorge\omoss.html", "HTML", 68, 0, 0, 0, 0, 12, 80
"c:\Users\vestb\Downloads\ProsjektHelseNorge\reaction.html", "HTML", 101, 0, 0, 0, 0, 10, 111
"Total", "-", 996, 1, 1025, 262, 31, 408, 2723
