"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\asset\image\pdf\frame\mcqsystem.html", "HTML", 0, -51, 0, -6, -57
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\mcq.js", "JavaScript", 61, 0, 0, 0, 61
"Total", "-", 61, -51, 0, -6, 4
