"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\adminpanel.html", "HTML", 0, 7, 0, 0, 7
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\adminpanel.js", "JavaScript", 28, 0, -3, 6, 31
"Total", "-", 28, 7, -3, 6, 38
