"filename", "language", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\adminpanel.html", "HTML", 0, -3, 0, 0, -1, -4
"c:\Users\vestb\Downloads\ProsjektHelseNorge\asset\image\pdf\frame\mcqsystem.html", "HTML", 0, -28, 0, -1, -3, -32
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\mcq.css", "PostCSS", 0, 0, -9, -1, 20, 10
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 0, -4, -6, -10
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 0, 16, 0, 0, 3, 19
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\mcq.js", "JavaScript", -4, 0, 0, 0, -1, -5
"Total", "-", -4, -15, -9, -6, 12, -22
